Equipo,Componente,Id,Resultado,Horas Funcionamiento,Horas del Aceite,Fecha de Análisis,B,Nit,Oxi,Sul,St,V,Al,Cr,Cu,Fe,Pb,Mo,Ni,Sn,Si,K,Na,W,F,A,ISO,PQI,Ba,Ca,Mg,Mn,P,Zn,Ag,Ti,V40,V100,TBN,TAN,ISO14,ISO4,ISO6
1355,Convertidor,273631,1,21950,409,2019-02-20 00:00:00.000,2,NULL,NULL,NULL,NULL,0,1,0,5,5,1,0,0,0,5,1,5,N,NULL,NULL,22/18/12,2,0,2797,10,0,942,1203,0,0,NULL,10.9,NULL,NULL,12,22,18
1355,Convertidor,294796,1,23153,804,2019-05-12 00:00:00.000,4,NULL,NULL,NULL,NULL,0,1,0,2,4,0,1,0,0,5,1,2,N,NULL,NULL,22/17/12,2,0,3557,9,0,909,1130,0,0,NULL,10.9,NULL,NULL,12,22,17
1355,Diferencial Trasero,294752,3,23153,424,2019-05-12 00:00:00.000,87,4,7,11,0,0,0,0,106,57,37,0,1,3,10,0,9,N,NULL,NULL,S-M,25,0,374,2,1,326,40,0,0,NULL,24.7,NULL,NULL,NULL,NULL,NULL
1355,Mando Final TD,284030,2,22729,1188,2019-04-03 00:00:00.000,90,4,9,13,0,0,0,0,47,36,5,0,1,2,10,0,9,N,NULL,NULL,22/20/13,15,0,363,2,1,315,36,0,0,NULL,24,NULL,NULL,13,22,20
1355,Mando Final TI,273605,1,21950,409,2019-02-20 00:00:00.000,99,4,8,12,0,0,0,0,16,16,2,0,1,0,7,0,9,N,NULL,NULL,22/20/16,11,0,356,3,0,312,34,0,0,NULL,24.5,NULL,NULL,16,22,20
1355,Masa Izquierda,273546,1,21950,409,2019-02-20 00:00:00.000,94,NULL,NULL,NULL,NULL,0,0,0,0,21,0,0,4,0,17,0,6,N,NULL,NULL,G-NM1,31,0,304,2,0,278,19,0,0,NULL,25,NULL,NULL,NULL,NULL,NULL
1355,Motor,278643,3,22349,399,2019-03-14 00:00:00.000,106,7,14,19,42,1,4,1,6,85,2,61,0,1,5,2,7,N,N,N,NULL,4,0,1994,434,1,1153,1346,0,0,NULL,14.3,9.4,NULL,NULL,NULL,NULL
1355,Sist de Dirección,273628,1,21950,409,2019-02-20 00:00:00.000,1,NULL,NULL,NULL,NULL,0,1,0,1,2,0,0,0,0,4,1,4,N,NULL,N,19/17/16,7,0,2870,11,0,933,1186,0,0,NULL,10.6,NULL,NULL,16,19,17
1355,Sist. Hidráulico,183107,2,20963,NULL,2018-02-26 00:00:00.000,0,NULL,NULL,NULL,NULL,0,1,0,0,6,0,0,1,0,19,0,3,N,NULL,NULL,222015,26,0,2626,10,0,906,1147,0,0,NULL,6.8,NULL,NULL,15,22,20
1355,Transmisión,273638,1,21950,409,2019-02-20 00:00:00.000,3,NULL,NULL,NULL,NULL,0,1,0,5,6,1,0,0,0,5,1,6,N,NULL,N,22/18/17,3,0,2897,10,0,948,1203,0,0,NULL,10.8,NULL,NULL,17,22,18
